state,biometric_updates
Tamil Nadu,174934
Andhra Pradesh,160202
Uttar Pradesh,147138
Maharashtra,143609
Karnataka,135780
West Bengal,125274
Kerala,93951
Gujarat,84630
Odisha,83177
Bihar,78078
Telangana,77850
Rajasthan,76698
Madhya Pradesh,66020
Punjab,46414
Assam,44418
Jharkhand,35054
Chhattisgarh,30048
Himachal Pradesh,28723
Haryana,25083
Uttarakhand,21433
Jammu and Kashmir,18597
Orissa,12767
Delhi,8784
Tripura,7949
Manipur,6252
Goa,5105
Meghalaya,4016
Arunachal Pradesh,3957
Nagaland,3666
Mizoram,3217
Puducherry,2535
Sikkim,2298
Pondicherry,2240
Chandigarh,1576
Andaman and Nicobar Islands,1190
Ladakh,688
Lakshadweep,525
Andaman & Nicobar Islands,502
Daman and Diu,394
Jammu & Kashmir,346
Dadra and Nagar Haveli,310
Daman & Diu,252
Dadra and Nagar Haveli and Daman and Diu,214
Dadra & Nagar Haveli,92
West Bangal,47
WEST BENGAL,31
andhra pradesh,30
ODISHA,25
West  Bengal,23
Westbengal,18
West bengal,17
odisha,15
WESTBENGAL,11
Chhatisgarh,5
Uttaranchal,2
Tamilnadu,1
west Bengal,1
