state,total_enrolment,rank,demographic_updates,mobility_index
ORISSA,4054,29,10731,2.647015293537247
ANDAMANANDNICOBARISLANDS,501,37,1289,2.5728542914171655
LAKSHADWEEP,199,38,410,2.0603015075376883
GOA,2280,31,4609,2.0214912280701753
PONDICHERRY,1260,35,1699,1.3484126984126985
HIMACHALPRADESH,16909,23,21940,1.2975338577089124
ANDHRAPRADESH,124273,13,154790,1.2455642013953152
PUDUCHERRY,1723,34,2111,1.2251886244921648
SIKKIM,2175,32,2452,1.1273563218390805
KERALA,73950,20,82186,1.1113725490196078
LADAKH,617,36,672,1.0891410048622365
ARUNACHALPRADESH,4240,28,3608,0.8509433962264151
TAMILNADU,215710,10,153333,0.7108293542255807
DADRAANDNAGARHAVELIANDDAMANDIU,1782,33,1250,0.7014590347923682
TRIPURA,11008,26,6968,0.6329941860465116
ODISHA,116400,14,71767,0.6165549828178695
CHANDIGARH,2620,30,1536,0.5862595419847328
KARNATAKA,219618,9,120416,0.5482974983835569
TELANGANA,128948,12,70098,0.5436144802556069
MIZORAM,5774,27,3010,0.5213023900242466
PUNJAB,75773,19,38097,0.5027780343921977
UTTARAKHAND,36956,22,17710,0.479218530143955
MANIPUR,13199,25,5744,0.43518448367300555
MAHARASHTRA,363446,5,126303,0.3475151741936904
WESTBENGAL,369249,4,125026,0.3385953651871772
JAMMUANDKASHMIR,47638,21,16015,0.33618119988244677
CHHATTISGARH,99773,16,27286,0.27348080141922165
GUJARAT,275042,7,75161,0.2732709913395045
HARYANA,95085,17,22341,0.23495819529894305
ASSAM,225359,8,47408,0.21036657067168385
JHARKHAND,153612,11,31245,0.20340207796265916
NAGALAND,15429,24,3109,0.2015036619353166
RAJASTHAN,340591,6,68455,0.2009888693476927
UTTARPRADESH,1002631,1,132366,0.13201865890841197
BIHAR,593753,2,74539,0.12553873412008024
MADHYAPRADESH,487892,3,60157,0.123299828650603
DELHI,92838,18,8066,0.08688252655162756
MEGHALAYA,109239,15,4180,0.03826472230613609
