month,predicted_enrolment,lower_bound,upper_bound
2026-01-01,1048629.9924349475,1048629.990940137,1048629.9939093313
2026-02-01,191740.22148724692,191740.2168666154,191740.22567998548
2026-03-01,-441603.2553877992,-441603.26456807146,-441603.2467479186
2026-04-01,57590.798044842435,57590.782994421315,57590.81218913477
2026-05-01,216157.2115282304,216157.1897822269,216157.2312843145
2026-06-01,203326.01855844978,203325.99086915245,203326.04452357916
2026-07-01,242544.52881307428,242544.49384622506,242544.56118946147
2026-08-01,-209744.08236164303,-209744.12515651796,-209744.0428064334
2026-09-01,1182165.9084334127,1182165.8570675906,1182165.9568274852
2026-10-01,268053.2754086512,268053.2147501926,268053.33360327955
2026-11-01,1255791.1106372508,1255791.0422852463,1255791.1788111844
2026-12-01,567354.4288734554,567354.3512980004,567354.5065560178
