state,total_enrolment,rank
UTTARPRADESH,1002631,1
BIHAR,593753,2
MADHYAPRADESH,487892,3
WESTBENGAL,369249,4
MAHARASHTRA,363446,5
RAJASTHAN,340591,6
GUJARAT,275042,7
ASSAM,225359,8
KARNATAKA,219618,9
TAMILNADU,215710,10
JHARKHAND,153612,11
TELANGANA,128948,12
ANDHRAPRADESH,124273,13
ODISHA,116400,14
MEGHALAYA,109239,15
CHHATTISGARH,99773,16
HARYANA,95085,17
DELHI,92838,18
PUNJAB,75773,19
KERALA,73950,20
JAMMUANDKASHMIR,47638,21
UTTARAKHAND,36956,22
HIMACHALPRADESH,16909,23
NAGALAND,15429,24
MANIPUR,13199,25
TRIPURA,11008,26
MIZORAM,5774,27
ARUNACHALPRADESH,4240,28
ORISSA,4054,29
CHANDIGARH,2620,30
GOA,2280,31
SIKKIM,2175,32
DADRAANDNAGARHAVELIANDDAMANDIU,1782,33
PUDUCHERRY,1723,34
PONDICHERRY,1260,35
LADAKH,617,36
ANDAMANANDNICOBARISLANDS,501,37
LAKSHADWEEP,199,38
