state,total_enrolment,rank,demographic_updates,biometric_updates,total_updates,update_burden_index
ANDAMANANDNICOBARISLANDS,501,37,1289,1692,2981,5.950099800399202
ORISSA,4054,29,10731,12767,23498,5.796250616674889
LAKSHADWEEP,199,38,410,525,935,4.698492462311558
GOA,2280,31,4609,5105,9714,4.260526315789473
PONDICHERRY,1260,35,1699,2240,3939,3.126190476190476
HIMACHALPRADESH,16909,23,21940,28723,50663,2.996215033414158
PUDUCHERRY,1723,34,2111,2535,4646,2.6964596633778295
ANDHRAPRADESH,124273,13,154790,160232,315022,2.5349190894240907
KERALA,73950,20,82186,93951,176137,2.38183908045977
LADAKH,617,36,672,688,1360,2.2042139384116695
SIKKIM,2175,32,2452,2298,4750,2.1839080459770117
ARUNACHALPRADESH,4240,28,3608,3957,7565,1.784198113207547
TAMILNADU,215710,10,153333,174935,328268,1.5218024199156275
DADRAANDNAGARHAVELIANDDAMANDIU,1782,33,1250,1262,2512,1.409652076318743
TRIPURA,11008,26,6968,7949,14917,1.3551053779069768
ODISHA,116400,14,71767,83217,154984,1.3314776632302405
CHANDIGARH,2620,30,1536,1576,3112,1.1877862595419848
KARNATAKA,219618,9,120416,135780,256196,1.166552832645776
TELANGANA,128948,12,70098,77850,147948,1.147346217079753
PUNJAB,75773,19,38097,46414,84511,1.1153181212305174
MIZORAM,5774,27,3010,3217,6227,1.0784551437478351
UTTARAKHAND,36956,22,17710,21433,39143,1.0591784825197532
MANIPUR,13199,25,5744,6252,11996,0.9088567315705736
MAHARASHTRA,363446,5,126303,143609,269912,0.7426467755870199
JAMMUANDKASHMIR,47638,21,16015,18943,34958,0.7338259372769638
WESTBENGAL,369249,4,125026,125422,250448,0.6782631774222815
GUJARAT,275042,7,75161,84630,159791,0.5809694519382494
CHHATTISGARH,99773,16,27286,30048,57334,0.5746444428853498
HARYANA,95085,17,22341,25083,47424,0.49875374664773625
NAGALAND,15429,24,3109,3666,6775,0.4391081729211226
JHARKHAND,153612,11,31245,35054,66299,0.4316003958024113
RAJASTHAN,340591,6,68455,76698,145153,0.4261797874870446
ASSAM,225359,8,47408,44418,91826,0.40746542183804507
UTTARPRADESH,1002631,1,132366,147138,279504,0.2787705546706615
MADHYAPRADESH,487892,3,60157,66020,126177,0.2586166610643339
BIHAR,593753,2,74539,78078,152617,0.25703785917713257
DELHI,92838,18,8066,8784,16850,0.1814989551692195
MEGHALAYA,109239,15,4180,4016,8196,0.07502814928734243
